id,warId,year,yearAU,relativeYear,label,locationLabel,latitude,longitude,stoaId,currentCountry,outcome,civil,naval,siege,sack,final,period,,Missing
1,,-509,244,1,Battle of Silva Arsia,Silva Arsia,41.9,12.5,26347394,,W,,,,,,R,,guerre illiriche
2,,-502,251,8,Battle of Pometia,Pometia,41.594438,12.826351,438841,,W,,,,,,R,,macedoni
3,,-496,257,14,Battle of Lake Regilius,Lake Regilius,,,-,,W,,,,,,R,,etoli
4,,-495,258,15,Battle of Aricia,Aricia,41.72139965,12.67334715,422844,,W,,,,,,R,,lusitan
5,,-482,271,28,Battle of Antium,Antium,41.44795,12.628995,422837,,L,,,,,,R,,servile 1 / 2
6,,-482,271,28,Battle of Longula,Longula,41.5286695,12.5880115,438775,,W,,,,,,R,,georgian campaign
7,,-480,273,30,Battle of Veii,Veii,42.021338,12.390519,423116,,W,,,,,,R,,post 476?
8,,-477,276,33,Battle of Colline Gate,Colline Gate,41.907339,12.498714,-,,W,,,,,,R,,
9,,-477,276,33,Battle of the Cremera,Cremera,42.67830854,12.32754255,422912,,L,,,,,,R,,
10,,-477,276,33,Battle of the Temple of Hope,Temple of Hope,,,-,,,,,,,,R,,
11,,-458,295,52,Battle of Mount Algidus,Mount Algidus,41.73,12.7,-,,W,,,,,,R,,
12,,-446,307,64,Battle of Corbio,Corbio,41.7909,12.7621,438722,,W,,,,,,R,,
13,,-396,357,114,Battle of Veii,Veii,42.021338,12.390519,423116,,W,,,,,,R,,
14,,-390,363,120,Battle of Allia River,Allia River,42.67830854,12.32754255,438670,,L,,,,,,R,,
15,,-342,411,168,Battle of Mount Gaurus,Mount Gaurus,40.827,14.139,432861,,W,,,,,,R,,
16,,-341,412,169,Battle of Suessula,Suessula,40.99006044,14.39860995,433133,,W,,,,,,R,,
17,,-339,414,171,Battle of Vesuvius,Vesuvius,40.8228645,14.4280779,433189,,W,,,,,,R,,
18,,-338,415,172,Battle of Trifanum,Trifanum,41.066667,14.333333,438857,,W,,,,,,R,,
19,,-321,432,189,Battle of the Caudine Forks,Caudine Forks,41.061111,14.633333,-,,L,,,,,,R,,
20,,-316,437,194,Battle of Lautulae,Lautulae,41.324,13.264,432903,,L,,,,,,R,,
21,,-310,443,200,Battle of Lake Vadimo,Lake Vadimo,42.48411889,12.3232359,413370,,W,,,,,,R,,
22,,-305,448,205,Battle of Bovianum,Bovianum,41.48673,14.473913,432725,,W,,,,,,R,,
23,,-298,455,212,Battle of Camerinum,Camerinum,43.140369,13.068764,413060,,L,,,,,,R,,
24,,-297,456,213,Battle of Tifernum,Tifernum,43.460874,12.243968,413339,,W,,,,,,R,,
25,,-295,458,215,Battle of Sentinum,Sentinum,43.427013,12.855963,413312,,W,,,,,,R,,
26,,-293,460,217,Battle of Aquilonia,Aquilonia,41.0205885,15.4503075,442471,,W,,,,,,R,,
27,,-284,469,226,Battle of Arretium,Arretium,43.471274,11.863048,413032,,L,,,,,,R,,
28,,-283,470,227,Battle of Lake Vadimo,Lake Vadimo,42.48411889,12.3232359,413370,,W,,,,,,R,,
29,,-282,471,228,Battle of Populonia,Populonia,42.9884197,10.48993922,403212,,W,,,,,,R,,
30,,-280,473,230,Battle of Heraclea,Heraclea,40.2117761,16.669885,452333,,L,,,,,,R,,
31,,-279,474,231,Battle of Asculum,Asculum,42.855397,13.574951,413036,,L,,,,,,R,,
32,,-275,478,235,Battle of Beneventum,Beneventum,41.130437,14.781161,432721,,,,,,,,R,,
33,,-261,492,249,Battle of Agrigentum,Agrigentum,37.290594,13.585475,462086,,W,,,,,,R,,
34,,-260,493,250,Battle of the Lipari Islands,Lipari Islands,38.46740105,14.9539573,462283,,L,,y,,,,R,,
