id,label,latitude,longitude,stoa_id,,"Note: id can vary, but sort by label for lookup!"
1,Actium,38.953115,20.768402,530771,,
2,Adys,36.635894,10.096906,321636,,
3,Aegates Islands,37.9620436,12.2471584,462075,,
4,Ager Falernus,41.17590236,13.98280271,432828,,
5,Agrigentum,37.290594,13.585475,462086,,
6,Alesia,47.536622,4.503884,177434,,
7,Allia River,42.67830854,12.32754255,438670,,
8,Ancyra,39.96282667,32.81975567,619103,,
9,Antium,41.44795,12.628995,422837,,
10,Aous,40.6125045,19.4812849,481726,,
11,Aquae Sextiae,45.68907973,5.9154928,167650,,
12,Aquilonia,41.0205885,15.4503075,442471,,
13,Aracillum,43.176488,-3.973369,236339,,
14,Arar,47.7018263,6.0421883,167652,,
15,Arausio,44.1367875,4.8079175,148054,,
16,Aricia,41.72139965,12.67334715,422844,,
17,Arretium,43.471274,11.863048,413032,,
18,Artaxata,39.94889533,44.53352067,874361,,
19,Asculum,42.855397,13.574951,413036,,
20,Asio River,43.55905465,13.2253118,413003,,
21,Athens,37.97281915,23.72374385,579885,,
22,Axona,49.0487801,2.1034696,108779,,
23,Baecula,38.095872,-3.774889,265814,,
24,Baetis River,37.969207,-2.910335,256009,,
25,Bagbrades,37.057944,10.0625972,-,,
26,Bagradas River,37.116667,10.216667,30218,,
27,Beneventum,41.130437,14.781161,432721,,
28,Bibracte,46.9208565,4.0360565,177473,,
29,Bovianum,41.48673,14.473913,432725,,
30,Burdigala,44.837205,-0.576533,138248,,
31,Cabira,40.5892125,37.0201215,857177,,
32,Callicinus,39.632098,22.419935,-,,
33,Camerinum,43.140369,13.068764,413060,,
34,Campania,42.5,12.5,991350,,
35,Cannae,41.296496,16.15132,442523,,
36,Cape Ecnomus,37.108333,13.946944,-,,
37,Capua,41.0860925,14.250207,432754,,
38,Carmona,37.4703045,-5.6464685,256058,,
39,Carrhae,36.8655215,39.0301785,658427,,
40,Carteia,36.183163,-5.410359,256063,,
41,Carthage,36.8500325,10.318,314921,,
42,Caudine Forks,41.061111,14.633333,-,,
43,Chaeronea,38.495182,22.8434315,540701,,
44,Cissa,44.54,14.91,197211,,
45,Clades Lolliana,49.66019923,6.7871561,109277,,
46,Clastidium,45.011113,9.123457,383618,,
47,Clusium,43.016367,11.9487025,413096,,
48,Colline Gate,41.907339,12.498714,-,,
49,Corbio,41.7909,12.7621,438722,,
50,Corinth,37.90082115,22.89573724,570182,,
51,Cremera,42.67830854,12.32754255,422912,,
52,Cremona,45.133639,10.026149,383628,,
53,Crotona,39.0811675,17.127966,452317,,
54,Cynoscephalae,39.378033,22.415199,540719,,
55,Cyzicus,40.3855645,27.883191,511218,,
56,Drepala,38.016667,12.516667,-,,
57,Dyrrachium,41.3163425,19.447355,481818,,
58,Ebro River,40.72,0.863056,-,,
59,Eurymedon,37.1968531,31.1815439,638836,,
60,Faesulae,43.8070785,11.2926275,413124,,
61,Faventia,44.286236,11.883507,393420,,
62,Fidentia,44.865109,10.061732,383648,,
63,Forum Gallorum,44.596736,11.053156,393425,,
64,Fucin Lake,41.995,13.547222,432853,,
65,Grumentum,40.284832,15.9062905,442603,,
66,Guadalquivir,36.8273903,-6.3455489,256263,,
67,Gythium,36.7600725,22.5626005,570268,,
68,Halys,41.6767598,35.9295291,857148,,
69,Heraclea,40.2117761,16.669885,452333,,
70,Herdonia,41.3107496,15.6237042,442613,,
71,Ilerda,41.6159535,0.625938,246431,,
72,Ilipa,37.518215,-5.978254,256222,,
73,Lake Trasimene,43.13944,12.1075,-,,
74,Lake Vadimo,42.48411889,12.3232359,413370,,
75,Lautulae,41.324,13.264,432903,,
76,Lilybaeum,37.8025,12.425278,462282,,
77,Lipari Islands,38.46740105,14.9539573,462283,,
78,Longula,41.5286695,12.5880115,438775,,
79,Lupia River,51.7538459,8.6917099,109125,,
