id,warId,year,yearAU,relativeYear,label,locationLabel,latitude,longitude,stoaId,currentCountry,outcome,civil,naval,siege,sack,final,period,y1,y2
1,1,-509,244,1,Battle of Silva Arsia,Silva Arsia,41.9,12.5,26347394,IT,W,n,n,n,n,,R,2.262837518,0.02450873544
2,2,-502,251,8,Battle of Pometia,Pometia,41.594438,12.826351,438841,IT,W,n,n,n,n,,R,2.431871438,-0.03338704655
3,4,-496,257,14,Battle of Lake Regilius,Lake Regilius,,,-,-,W,n,n,n,n,,R,1.537753793,-1.432842012
4,,-495,258,15,Battle of Aricia,Aricia,41.72139965,12.67334715,422844,IT,W,n,n,n,n,,R,1.844075661,-0.2338477547
5,5,-482,271,28,Battle of Antium,Antium,41.44795,12.628995,422837,IT,L,n,n,n,n,,R,1.549410478,-0.1826459582
6,5,-482,271,28,Battle of Longula,Longula,41.5286695,12.5880115,438775,IT,W,n,n,n,n,,R,1.508035903,-0.04978884868
7,5,-480,273,30,Battle of Veii,Veii,42.021338,12.390519,423116,IT,W,n,n,n,n,,R,1.395346622,-0.01119166069
8,5,-477,276,33,Battle of Colline Gate,Colline Gate,41.907339,12.498714,-,IT,W,n,n,n,n,,R,1.395346622,-0.01119166069
9,5,-477,276,33,Battle of the Cremera,Cremera,42.67830854,12.32754255,422912,IT,L,n,n,n,n,,R,1.395346622,-0.01119166069
10,5,-477,276,33,Battle of the Temple of Hope,Temple of Hope,,,-,-,,n,n,n,n,,R,1.096131836,-0.3569981279
11,5,-458,295,52,Battle of Mount Algidus,Mount Algidus,41.73,12.7,-,IT,W,n,n,n,n,,R,1.508035903,-0.04978884868
12,5,-446,307,64,Battle of Corbio,Corbio,41.7909,12.7621,438722,IT,W,n,n,n,n,,R,1.508035903,-0.04978884868
13,1,-396,357,114,Battle of Veii,Veii,42.021338,12.390519,423116,IT,W,n,n,n,n,,R,1.365907359,-0.05231220286
14,,-390,363,120,Battle of Allia River,Allia River,42.67830854,12.32754255,438670,IT,L,n,n,n,n,,R,1.365907359,-0.05231220286
15,6,-342,411,168,Battle of Mount Gaurus,Mount Gaurus,40.827,14.139,432861,IT,W,n,n,n,n,,R,1.147492081,-0.02139177387
16,6,-341,412,169,Battle of Suessula,Suessula,40.99006044,14.39860995,433133,IT,W,n,n,n,n,,R,1.147492081,-0.02139177387
17,7,-339,414,171,Battle of Vesuvius,Vesuvius,40.8228645,14.4280779,433189,IT,W,n,n,n,n,,R,1.038151755,-0.007644872738
18,7,-338,415,172,Battle of Trifanum,Trifanum,41.066667,14.333333,438857,IT,W,n,n,n,n,,R,1.138501689,-0.05634956954
19,8,-321,432,189,Battle of the Caudine Forks,Caudine Forks,41.061111,14.633333,-,IT,L,n,n,n,n,,R,1.138501689,-0.05634956954
20,8,-316,437,194,Battle of Lautulae,Lautulae,41.324,13.264,432903,IT,L,n,n,n,n,,R,1.138501689,-0.05634956954
21,8,-310,443,200,Battle of Lake Vadimo,Lake Vadimo,42.48411889,12.3232359,413370,IT,W,n,n,n,n,,R,0.9616011748,-0.02904185875
22,8,-305,448,205,Battle of Bovianum,Bovianum,41.48673,14.473913,432725,IT,W,n,n,n,n,,R,1.046118135,-0.05798974975
23,9,-298,455,212,Battle of Camerinum,Camerinum,43.140369,13.068764,413060,IT,L,n,n,n,n,,R,1.046118135,-0.05798974975
24,9,-297,456,213,Battle of Tifernum,Tifernum,43.460874,12.243968,413339,IT,W,n,n,n,n,,R,1.046118135,-0.05798974975
25,9,-295,458,215,Battle of Sentinum,Sentinum,43.427013,12.855963,413312,IT,W,n,n,n,n,,R,0.9646032348,-0.05943696758
26,9,-293,460,217,Battle of Aquilonia,Aquilonia,41.0205885,15.4503075,442471,IT,W,n,n,n,n,,R,0.8850578604,-0.03219189371
27,10,-284,469,226,Battle of Arretium,Arretium,43.471274,11.863048,413032,IT,L,n,n,n,n,,R,0.8850578604,-0.03219189371
28,10,-283,470,227,Battle of Lake Vadimo,Lake Vadimo,42.48411889,12.3232359,413370,IT,W,n,n,n,n,,R,0.8085206012,-0.02013613611
29,10,-282,471,228,Battle of Populonia,Populonia,42.9884197,10.48993922,403212,IT,W,n,n,n,n,,R,0.8170193588,-0.03499192478
30,11,-280,473,230,Battle of Heraclea,Heraclea,40.2117761,16.669885,452333,IT,L,n,n,n,n,,R,0.9197285959,-0.1492947898
31,11,-279,474,231,Battle of Asculum,Asculum,42.855397,13.574951,413036,IT,L,n,n,n,n,,R,0.7561428048,-0.03749721573
32,11,-275,478,235,Battle of Beneventum,Beneventum,41.130437,14.781161,432721,IT,,n,n,n,n,,R,0.7561428048,-0.03749721573
33,12,-261,492,249,Battle of Agrigentum,Agrigentum,37.290594,13.585475,462086,IT,W,n,n,n,n,,R,0.7480913501,-0.02342331068
34,12,-260,493,250,Battle of the Lipari Islands,Lipari Islands,38.46740105,14.9539573,462283,IT,L,n,y,n,n,,R,0.7561428048,-0.03749721573
35,12,-260,493,250,Battle of Mylae,Mylae,38.219365,15.240385,462379,IT,W,n,n,n,n,,R,0.7561428048,-0.03749721573
36,12,-258,495,252,Battle of Sulci,Sulci,39.061743,8.4547,472024,IT,W,n,n,n,n,,R,0.7561428048,-0.03749721573
37,12,-257,496,253,Battle of Tyndaris,Tyndaris,38.14272495,15.0445609,462527,IT,W,n,y,n,n,,R,0.7561428048,-0.03749721573
38,12,-256,497,254,Battle of Cape Ecnomus,Cape Ecnomus,37.108333,13.946944,-,IT,W,n,y,n,n,,R,0.7561428048,-0.03749721573
39,12,-256,497,254,Battle of Adys,Adys,36.635894,10.096906,321636,TN,W,n,n,n,n,,R,0.560681068,0.05106562598
40,12,-255,498,255,Battle of Tunis,Tunis,37.25,10.25,315212,TN,L,n,n,n,n,,R,0.560681068,0.05106562598
41,12,-251,502,259,Battle of Panormus,Panormus,38.11127,13.3534422,462410,IT,W,n,n,n,n,,R,0.7561428048,-0.03749721573
42,12,-250,503,260,Siege of Lilybaeum,Lilybaeum,37.8025,12.425278,462282,IT,L,n,n,y,n,,R,0.7561428048,-0.03749721573
43,12,-249,504,261,Battle of Drepala,Drepala,38.016667,12.516667,-,IT,L,n,y,n,n,,R,0.7013539061,-0.03975197759
44,12,-242,511,268,Battle of the Aegates Islands,Aegates Islands,37.9620436,12.2471584,462075,IT,W,n,y,n,n,,R,0.7013539061,-0.03975197759
45,,-229,524,281,Battle of Paxos,Paxos,39.192672,20.1550175,531049,GR,W,n,y,n,n,,R,0.5491052744,-0.03369219318
46,14,-225,528,285,Battle of Faesulae,Faesulae,43.8070785,11.2926275,413124,IT,L,n,n,n,n,,R,0.7013539061,-0.03975197759
47,14,-224,529,286,Battle of Telamon,Telamon,42.555325,11.133273,403280,IT,W,n,n,n,n,,R,0.7013539061,-0.03975197759
48,14,-222,531,288,Battle of Clastidium,Clastidium,45.011113,9.123457,383618,IT,W,n,n,n,n,,R,0.7689674743,-0.06291029039
49,13,-218,535,292,Battle of Lilybaeum,Lilybaeum,37.8025,12.425278,462282,IT,W,n,y,n,n,,R,0.7013539061,-0.03975197759
50,13,-218,535,292,Battle of Cissa,Cissa,44.54,14.91,197211,HR,W,n,n,n,n,,R,0.4344191275,-0.1946868877
51,13,-218,535,292,Battle of the Ticinus,Ticinus,45.1803284,9.1552338,383799,IT,L,n,n,n,n,,R,0.7013539061,-0.03975197759
52,13,-218,535,292,Battle of the Trebia,Trebia,44.5260393,9.2421515,383802,IT,L,n,n,n,n,,R,0.7095434811,-0.56243514
53,13,-217,536,293,Battle of Ebro River,Ebro River,40.72,0.863056,-,ES,W,n,y,n,n,,R,0.6121000006,0.3414425425
54,13,-217,536,293,Battle of Ager Falernus,Ager Falernus,41.17590236,13.98280271,432828,IT,L,n,n,n,n,,R,0.7689674743,-0.06291029039
