id,RomanCommanders,EnemyCommanders
1,Lucius Junius Brutus†  Publius Valerius Publicola,Lucius Tarquinius Superbus Aruns Tarquinius † 
2,,
3,Aulus Postumius Albus; Titus Aebutius Elva (master of the horse),Octavius Mamilius; Tarquinius Superbus
4,,
5,,
6,,
7,,
8,Kaeso Fabius Vibulanus,unknown
9,Kaeso Fabius Vibulanus,unknown
10,,
11,Quinctius Cincinnatus; Minucius Esquilinus,Gracchus Clelius
12,,
13,Furius Camillus,
14,Quintus Sulpicius,Brennus
15,Valerius Corvus,
16,,
17,Unknown,Publius Decius Mus†  Titus Manlius Torquatus
18,Manlius Imperiosus,Unknown
19,Titus Veturius Calvinus Spurius Postumius Albinus,Gaius Pontius
20,Fabius Maximus Rullianus,
21,Lucius Papirius Cursor,
22,Tiberius Minucius Augurinus; Lucius Postumius Megellus,Statius Gellius
23,Lucius Cornelius Scipio Barbatus,
24,Fabius Maximus Rullianus Lucius Cornelius Scipio Barbatus,Gellius Statius
25,Publius Decius Mus†  Fabius Maximus Rullianus,Egnatius
26,,
27,Lucius Caecilius Metellus Denter,Britomaris
28,Publius Cornelius Dolabella,
29,,
30,Publius Valerius Laevinus,Pyrrhus of Epirus
31,Publius Decius Mus,Pyrrhus of Epirus
32,Manius Curius Dentatus,Pyrrhus of Epirus
33,L. Postumius Megellus Q. Mamilius Vitulus,Hanno Hannibal Gisco
34,Boodes Hannibal Gisco,Gnaeus Cornelius Scipio Asina
35,Gaius Duilius,Hannibal Gisco
36,Gaius Sulpicius Paterculus,Hannibal Gisco
37,Gaius Atilius Regulus,Hamilcar
38,Marcus Atilius Regulus Lucius Manlius Vulso Longus,Hamilcar Hanno
39,Marcus Atilius Regulus,Bostar Hamilcar Hasdrubal
40,Marcus Atilius Regulus  (POW),Xanthippus
41,Lucius Caecilius Metellus,Hasdrubal
42,,
43,Ad Herbal Hamilcar,Publius Claudius Pulcher
44,Gaius Lutatius Catulus,Hanno the Great
45,,
46,Lucius Aemilius Papus and a Roman Praetor,
47,Atilius Regulus † ; Aemilius Papus,Concolitanus; Aneroëstes † 
48,Marcellus,Viridomarus† 
49,Unknown,Amellius; Praetor of Sicily
50,Hanno,Gnaeus Cornelius Scipio Calvus
51,Hannibal,Publius Cornelius Scipio the elder
52,Hannibal,Tiberius Sempronius Longus
53,Himilco,Gnaeus Cornelius Scipio Calvus
54,Hannibal Barca,Quintus Fabius Maximus
55,Hannibal,Gaius Flaminius † 
56,Hannibal,Gaius Terentius Varro; Lucius Aemilius Paullus † 
57,Hannibal,Marcus Claudius Marcellus
58,Hannibal,Marcus Claudius Marcellus
59,Hannibal,Marcus Claudius Marcellus
60,Hannibal,Quintus Fulvius Flaccus; Appius Claudius Pulcher
61,Hannibal,Gnaeus Fulvius Flaccus
62,Hannibal,Marcus Centenius Penula † 
63,Hannibal; Bostar; Hanno; son of Bomilcar,Quintus Fulvius Flaccus; Appius Claudius Pulcher
64,Hasdrubal Barca Mago Barca Hasdrubal Gisco,Publius Cornelius Scipio†  Gnaeus Cornelius Scipio Calvus† 
65,Hannibal,Gn. Fulvius Centumalus
66,Hannibal,Marcus Claudius Marcellus
67,,
68,Hasdrubal Barca,Scipio Africanus Major
69,Hasdrubal Gisco,Publius Cornelius Scipio
70,Hannibal; Mago,Gaius Claudius Nero
71,Hasdrubal Barca † ,Marcus Livius Salinator; Gaius Claudius Nero; Porcius Licinus
72,,
73,,
74,Mago Barca Hasdrubal Gisco Masinissa,Scipio Africanus Major
75,Hannibal,Sempronius Tuditanus Publius Licinius Crassus
76,Scipio Africanus Masinissa Gaius Laelius,Hasdrubal Gisco Syphax
77,Hannibal,Scipio Africanus
78,Lucius Furius Purpurio,Hamilcar
79,,
80,T. Quinctius Flamininus,Philip V of Macedon
81,Dexagoridas; †  Gorgopas,Titus Quinctius Flaminius; Eumenes II of Pergamum
82,Tiberius Sempronius,
83,Merula,Unknown
84,Manius Acilius Glabrio,Antiochus III the Great
85,Eudamos,Hannibal
86,Lucius Aemilius Regillus Eudorus,Polyxenidas of Rhodes
87,Lucius Cornelius Scipio Asiaticus; Scipio Africanus; Eumenes II of Pergamum,Antiochus III the Great; Zeuxis ; Seleucus
88,Eposognatus Orgiagon Chiomara,Gnaeus Manlius Vulso; Attalus
89,-,Gnaeus Manlius Vulso; Attalus
90,Q. Fulvius Flaccus,unknown
91,Perseus of Macedon,Licinius Crassus
92,Perseus (POW),Lucius Aemilius Paullus
93,Quintus Caecilius Metellus,Andriscus
94,,
95,,
96,Scipio Aemilianus Manius Manilius,Hasdrubal the Boeotarch
97,Lucius Mummius Achaicus,Diaeus
98,,
99,Gnaeus Papirius Carbo,King Boiorix King Teutobod
100,,
101,Jugurtha Bomilcar,Quintus Caecilius Metellus Gaius Marius
102,,
103,King Boiorix King Teutobod,Quintus Servilius Caepio Gnaeus Mallius Maximus
104,King Teutobod (POW),Gaius Marius
105,King Boiorix † ,Gaius Marius; Quintus Lutatius Catulus
106,Pompeius Strabo,
107,,Lucius Porcius Cato
108,,
109,Sulla,Archelaus
110,Sulla,Archelaus
111,Lucius Cornelius Sulla,Gaius Norbanus
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,Quintus Sertorius,Lucius Fulfidas
121,Lucullus,Mithridates VI of Pontus
122,,
123,Lucullus,Mithridates VI of Pontus
124,,
125,,
126,,
127,,
128,,
129,Lucius Licinius Lucullus Legatus Fannius Legatus Sextilius Legatus Hadrianus,Tigranes the Great Taxilés Mancaeus
130,Lucullus,Tigranes II
131,Pompey,Mithridates VI
132,,
133,Julius Caesar,
134,Julius Caesar,Divico
135,Julius Caesar,Ariovistus
136,Julius Caesar,Galba of Suessiones
137,Servius Galba,
138,Julius Caesar,Boduognatus
139,Marcus Licinius Crassus  † ; Publius Licinius Crassus  † ; Gaius Cassius Longinus,Surena
140,Julius Caesar,Vercingetorix Commius
141,Gaius Scribonius Curio† ,Publius Attius Varus King Juba of Numidia
142,Julius Caesar,Lucius Afranius Marcus Petreius Marcus Terentius Varro
143,Gnaeus Pompeius Magnus,Gaius Julius Caesar
144,Gaius Julius Caesar Mark Antony,Gnaeus Pompeius Magnus
145,Julius Caesar Cleopatra VII Mithridates I,Ptolemy XIII Arsinoe IV
146,Julius Caesar,Pharnaces II of Pontus
147,Gaius Julius Caesar,Titus Labienus
148,G. Julius Caesar,Quintus Caecilius Metellus Pius Scipio Nasica Marcus Petreius Juba I of Numidia
149,Gaius Julius Caesar Subordinate cavalry commanders: Gaius Octavius; Marcus Agrippa,Titus Labienus † ; Publius Attius Varus † ; Gnaeus Pompeius
150,Gaius Vibius Pansa Caetronianus†  Aulus Hirtius Gaius Julius Caesar Octavianus,Mark Antony
151,,
152,Octavian and Mark Antony,Brutus†  and Cassius† 
153,Octavian and Mark Antony,Brutus†  and Cassius† 
154,Octavian,Lucius Antonius; Fulvia
155,Sextus Pompeius,Marcus Vipsanius Agrippa
156,Marcus Vipsanius Agrippa,Mark Antony Cleopatra VII
157,,
158,,
159,,
160,Nero Claudius Drusus,unknown
161,Arminius,Publius Quinctilius Varus
162,Germanicus,Arminius Inviomerus
